network,station,location,channel,CalBlockette,start,end,filename
IU,TUC,00,BHZ,320,2018-004 23:57:00,2018-005 00:12:00,/msd/IU_TUC/2018/004/00_BHZ.512.seed
IU,TUC,10,BHZ,320,2018-004 22:05:00,2018-004 22:20:00,/msd/IU_TUC/2018/004/10_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 20:21:00,2018-004 20:36:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 20:38:00,2018-004 20:53:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-004 22:59:00,2018-004 23:14:00,/msd/IU_TUC/2018/004/60_BHZ.512.seed
IU,TUC,00,EHZ,320,2018-004 23:57:00,2018-005 00:12:00,/msd/IU_TUC/2018/004/00_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-004 22:05:00,2018-004 22:20:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 06:50:00,2018-006 07:30:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 07:43:00,2018-006 08:23:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 08:36:00,2018-006 08:46:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,310,2018-006 08:59:00,2018-006 09:09:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,300,2018-006 09:32:00,2018-006 09:47:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-006 10:15:00,2018-006 14:15:00,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,10,EHZ,320,2018-006 14:15:15,2018-006 18:15:15,/msd/IU_TUC/2018/004/10_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 20:21:00,2018-004 20:36:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 20:38:00,2018-004 20:53:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-004 22:59:00,2018-004 23:14:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 18:33:00,2018-006 19:13:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 19:26:00,2018-006 20:06:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 20:19:00,2018-006 20:29:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,310,2018-006 20:42:00,2018-006 20:52:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,300,2018-006 21:15:00,2018-006 21:30:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-006 21:58:00,2018-007 01:58:00,/msd/IU_TUC/2018/004/60_EHZ.512.seed
IU,TUC,60,EHZ,320,2018-007 01:58:21,2018-007 05:58:21,/msd/IU_TUC/2018/004/60_EHZ.512.seed
US,MNTX,00,BHZ,320,2018-004 17:06:00,2018-004 17:21:00,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 18:57:01,2018-004 18:58:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:01:01,2018-004 19:02:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:40:05,2018-004 19:41:05,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-004 19:43:01,2018-004 19:44:01,/msd/US_MNTX/2018/004/00_BHZ.512.seed
US,MNTX,00,EHZ,320,2018-004 17:06:00,2018-004 17:21:00,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 18:57:01,2018-004 18:58:01,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 19:01:01,2018-004 19:02:01,/msd/US_MNTX/2018/004/00_EHZ.512.seed
US,MNTX,00,EHZ,310,2018-004 19:40:05,2018-004 19:41:05,/msd/US_MNTX/2018/004/00_EHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 19:07:00,2018-005 19:47:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 20:00:00,2018-005 20:40:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 20:53:00,2018-005 21:03:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,310,2018-005 21:16:00,2018-005 21:26:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,300,2018-005 21:49:00,2018-005 22:04:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,320,2018-005 22:32:00,2018-006 02:32:00,/msd/IU_TUC/2018/005/00_BHZ.512.seed
IU,TUC,00,BHZ,320,2018-006 02:32:17,2018-006 06:32:17,/msd/IU_TUC/2018/006/00_BHZ.512.seed
IU,TUC,10,BHZ,310,2018-006 06:50:00,2018-006 07:30:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,310,2018-006 07:43:00,2018-006 08:23:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,310,2018-006 08:36:00,2018-006 08:46:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,310,2018-006 08:59:00,2018-006 09:09:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,300,2018-006 09:32:00,2018-006 09:47:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,320,2018-006 10:15:00,2018-006 14:15:00,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,10,BHZ,320,2018-006 14:15:15,2018-006 18:15:15,/msd/IU_TUC/2018/006/10_BHZ.512.seed
IU,TUC,60,BHZ,310,2018-006 18:33:00,2018-006 19:13:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,310,2018-006 19:26:00,2018-006 20:06:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,310,2018-006 20:19:00,2018-006 20:29:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,310,2018-006 20:42:00,2018-006 20:52:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,300,2018-006 21:15:00,2018-006 21:30:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-006 21:58:00,2018-007 01:58:00,/msd/IU_TUC/2018/006/60_BHZ.512.seed
IU,TUC,60,BHZ,320,2018-007 01:58:21,2018-007 05:58:21,/msd/IU_TUC/2018/007/60_BHZ.512.seed
US,MVCO,00,BHZ,320,2018-014 03:36:00,2018-014 03:51:00,/msd/US_MVCO/2018/014/00_BHZ.512.seed
US,MVCO,00,EHZ,320,2018-014 03:36:00,2018-014 03:51:00,/msd/US_MVCO/2018/014/00_EHZ.512.seed
US,MNTX,00,BHZ,310,2018-014 02:11:01,2018-014 02:12:01,/msd/US_MNTX/2018/014/00_BHZ.512.seed
US,NATX,00,BHZ,310,2018-014 02:16:00,2018-014 02:17:00,/msd/US_NATX/2018/014/00_BHZ.512.seed
US,NATX,00,BHZ,320,2018-014 02:27:59,2018-014 02:42:59,/msd/US_NATX/2018/014/00_BHZ.512.seed
US,NATX,00,EHZ,310,2018-014 02:16:00,2018-014 02:17:00,/msd/US_NATX/2018/014/00_EHZ.512.seed
US,NATX,00,EHZ,320,2018-014 02:27:59,2018-014 02:42:59,/msd/US_NATX/2018/014/00_EHZ.512.seed
IU,LCO,00,BHZ,320,2018-016 22:22:00,2018-016 22:37:00,/msd/IU_LCO/2018/016/00_BHZ.512.seed
IU,LCO,10,BHZ,320,2018-016 20:49:00,2018-016 21:04:00,/msd/IU_LCO/2018/016/10_BHZ.512.seed
IU,LCO,00,EHZ,320,2018-016 22:22:00,2018-016 22:37:00,/msd/IU_LCO/2018/016/00_EHZ.512.seed
IU,LCO,10,EHZ,320,2018-016 20:49:00,2018-016 21:04:00,/msd/IU_LCO/2018/016/10_EHZ.512.seed
US,AAM,00,BHZ,320,2018-016 19:40:00,2018-016 19:55:00,/msd/US_AAM/2018/016/00_BHZ.512.seed
US,AAM,00,EHZ,320,2018-016 19:40:00,2018-016 19:55:00,/msd/US_AAM/2018/016/00_EHZ.512.seed
IU,SFJD,00,BHZ,320,2018-017 20:41:00,2018-017 20:56:00,/msd/IU_SFJD/2018/017/00_BHZ.512.seed
IU,SFJD,10,BHZ,320,2018-017 19:09:59,2018-017 19:24:59,/msd/IU_SFJD/2018/017/10_BHZ.512.seed
IU,SFJD,10,BHZ,310,2018-017 22:23:59,2018-017 23:03:59,/msd/IU_SFJD/2018/017/10_BHZ.512.seed
IU,SFJD,10,BHZ,310,2018-017 23:17:00,2018-017 23:57:00,/msd/IU_SFJD/2018/017/10_BHZ.512.seed
IU,SFJD,00,EHZ,320,2018-017 20:41:00,2018-017 20:56:00,/msd/IU_SFJD/2018/017/00_EHZ.512.seed
IU,SFJD,10,EHZ,320,2018-017 19:09:59,2018-017 19:24:59,/msd/IU_SFJD/2018/017/10_EHZ.512.seed
IU,SFJD,10,EHZ,310,2018-017 22:23:59,2018-017 23:03:59,/msd/IU_SFJD/2018/017/10_EHZ.512.seed
IU,SFJD,10,EHZ,310,2018-017 23:17:00,2018-017 23:57:00,/msd/IU_SFJD/2018/017/10_EHZ.512.seed
IU,LCO,00,BHZ,310,2018-017 03:41:00,2018-017 04:21:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,310,2018-017 04:34:00,2018-017 05:14:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,310,2018-017 05:27:00,2018-017 05:37:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,310,2018-017 05:50:00,2018-017 06:30:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,300,2018-017 06:53:00,2018-017 07:08:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,320,2018-017 07:36:00,2018-017 11:36:00,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,00,BHZ,320,2018-017 11:36:15,2018-017 15:36:15,/msd/IU_LCO/2018/017/00_BHZ.512.seed
IU,LCO,10,BHZ,310,2018-017 15:54:00,2018-017 16:34:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,310,2018-017 16:47:00,2018-017 17:27:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,310,2018-017 17:40:00,2018-017 17:50:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,310,2018-017 18:03:00,2018-017 18:13:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,300,2018-017 18:36:00,2018-017 18:51:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
IU,LCO,10,BHZ,320,2018-017 19:19:00,2018-017 23:19:00,/msd/IU_LCO/2018/017/10_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 03:55:00,2018-017 04:35:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 04:48:00,2018-017 05:28:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 05:41:00,2018-017 05:51:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,310,2018-017 06:04:00,2018-017 06:14:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,300,2018-017 06:36:59,2018-017 06:51:59,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,BHZ,320,2018-017 07:20:00,2018-017 11:20:00,/msd/US_AAM/2018/017/00_BHZ.512.seed
US,AAM,00,EHZ,310,2018-017 03:55:00,2018-017 04:35:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 04:48:00,2018-017 05:28:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 05:41:00,2018-017 05:51:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,310,2018-017 06:04:00,2018-017 06:14:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,300,2018-017 06:36:59,2018-017 06:51:59,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,AAM,00,EHZ,320,2018-017 07:20:00,2018-017 11:20:00,/msd/US_AAM/2018/017/00_EHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 19:27:00,2018-017 19:28:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 22:40:01,2018-017 22:41:01,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 22:50:00,2018-017 23:30:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
US,MNTX,00,BHZ,310,2018-017 23:43:00,2018-018 00:23:00,/msd/US_MNTX/2018/017/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 19:18:59,2018-018 19:58:59,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 20:12:00,2018-018 20:52:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 21:05:00,2018-018 21:15:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,310,2018-018 21:28:00,2018-018 21:38:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
IU,SFJD,00,BHZ,300,2018-018 22:01:00,2018-018 22:16:00,/msd/IU_SFJD/2018/018/00_BHZ.512.seed
